dates,pollster,client,area,sample_size,conservative,labour,liberal_democrat,scottish_national_party,green,reform_uk,others,lead,year,brexit_party
15 Feb,Redfield & Wilton,,GB,2000,41%,39%,8%,5%,5%,2%,1% Plaid Cymru on 0%Other on 1%,2,2021,
12–14 Feb,Savanta ComRes,,UK,2170,42%,37%,7%,4%,3%,2%,7% Plaid Cymru on 1%Other on 4%,5,2021,
11–12 Feb,Opinium,The Observer,UK,2006,42%,37%,6%,5%,5%,0%,5% Plaid Cymru on 1%UKIP on 1%Other on 3%,5,2021,
9–10 Feb,YouGov,The Times,GB,1660,41%,36%,6%,5%,7%,3%,4% Plaid Cymru on 1%Other on 3%,5,2021,
8 Feb,Redfield & Wilton,,GB,2000,43%,38%,7%,5%,4%,2%,1% Plaid Cymru on 0%Other on 1%,5,2021,
5–7 Feb,Savanta ComRes,,UK,2119,41%,37%,8%,4%,4%,2%,5% Plaid Cymru on 1%Other on 4%,4,2021,
5–6 Feb,Survation,,UK,1003,39%,33%,9%,5%,7%,–,6% Plaid Cymru on 1%Other on 5%,6,2021,
29 Jan – 4 Feb,Ipsos,Evening Standard,GB,1056,42%,38%,7%,5%,8%,0%,0% Plaid Cymru on 0%Other on 0%,4,2021,
2–3 Feb,YouGov,The Times,GB,1684,41%,37%,6%,5%,6%,3%,3% Plaid Cymru on 1%Other on 2%,4,2021,
2 Feb,FindOutNow,,GB,5002,39%,38%,7%,6%[d],6%,3%,1% Other on 1%,1,2021,
1 Feb,Redfield & Wilton,,GB,2000,40%,38%,8%,5%,4%,3%,1% Plaid Cymru on 0%Other on 1%,2,2021,
25 Jan – 1 Feb,Number Cruncher Politics,ITV,UK,2001,43%,37%,5%,5%,5%,3%,2% Plaid Cymru on 1%Other on 1%,6,2021,
29–31 Jan,Savanta ComRes,,UK,2288,41%,38%,6%,5%,3%,2%,5% Plaid Cymru on 1%Other on 4%,3,2021,
28–29 Jan,Opinium Archived 6 February 2021 at the Wayback Machine,The Observer,UK,2002,41%,38%,7%,5%,4%,1%,4% Plaid Cymru on 1%UKIP on 2%Other on 1%,3,2021,
26–27 Jan,YouGov,The Times,GB,1721,37%,41%,6%,5%,4%,3%,4% Plaid Cymru on 1%Other on 3%,4,2021,
25 Jan,Redfield & Wilton,,GB,2000,42%,37%,8%,5%,4%,3%,2% Plaid Cymru on 0%Other on 2%,5,2021,
21–25 Jan,Kantar Public,,GB,1100,40%,37%,10%,4%,5%,2%,2% UKIP on 1%Other on 1%,3,2021,
22–24 Jan,Savanta ComRes,,UK,2070,40%,37%,8%,5%,3%,2%,4% Plaid Cymru on 0%Other on 4%,3,2021,
21–23 Jan,Deltapoll,The Mail on Sunday,GB,1632,41%,39%,7%,4%,3%,2%,4% UKIP on 3%Plaid Cymru on 0%Other on 1%,2,2021,
21–22 Jan,YouGov,The Times,GB,1703,39%,38%,5%,5%,6%,4%,3% Plaid Cymru on 1%Other on 2%,1,2021,
18 Jan,Redfield & Wilton,,GB,2000,40%,38%,8%,4%,5%,2%,2% Plaid Cymru on 0%Other on 2%,2,2021,
15–17 Jan,Savanta ComRes Archived 29 January 2021 at the Wayback Machine,,UK,1914,39%,37%,7%,5%,3%,2%,5% Plaid Cymru on 0%Other on 5%,2,2021,
14–15 Jan,Opinium Archived 22 January 2021 at the Wayback Machine,The Observer,UK,2003,37%,41%,6%,6%,4%,–,5% Plaid Cymru on 1%UKIP on 1%Other on 3%,4,2021,
13–14 Jan,YouGov,The Times,GB,1702,38%,39%,5%,5%,6%,3%,3% Plaid Cymru on 1%Other on 2%,1,2021,
12–13 Jan,Survation,,UK,1033,40%,38%,7%,4%,5%,1%,6% Plaid Cymru on 0%Other on 6%,2,2021,
11 Jan,Redfield & Wilton,,GB,2000,41%,37%,8%,5%,5%,2%,1% Plaid Cymru on 0%Other on 1%,4,2021,
8–10 Jan,Savanta ComRes Archived 15 January 2021 at the Wayback Machine,,UK,1550,40%,37%,8%,4%,4%,2%,5% Plaid Cymru on 1%Other on 4%,3,2021,
6–7 Jan,Opinium,The Observer,UK,2003,39%,40%,6%,5%,4%,–,6% UKIP on 2%Plaid Cymru on 1%Other on 3%,1,2021,
6 Jan,The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],The Brexit Party is re-registered as Reform UK[25],2021,
4–5 Jan,YouGov,The Times,GB,1704,39%,39%,6%,5%,6%,3%,3% Plaid Cymru on 1%Other on 2%,Tie,2021,
26–30 Dec,Deltapoll,Daily Mirror,GB,1608,43%,38%,4%,5%,5%,,3% UKIP on 2%Plaid Cymru on 0%Other on 1%,5%,2020,3%
4–29 Dec,Focaldata (MRP),,GB,22186,36%,38%,9%,4%,7%,,3% Plaid Cymru on 1%Other on 2%,2%,2020,4%
22 Dec,Survation,,UK,1011,39%,38%,8%,5%,4%,,6% Plaid Cymru on 0%Other on 6%,1%,2020,1%
21–22 Dec,YouGov,The Times,GB,1713,37%,41%,5%,5%,5%,,2% Plaid Cymru on 1%Other on 1%,4%,2020,4%
18–21 Dec,Savanta ComRes,Daily Express,UK,1433,41%,39%,8%,5%,4%,,2% Plaid Cymru on 1%Other on 1%,2%,2020,2%
16–17 Dec,Opinium,The Observer,UK,2001,39%,39%,6%,5%,4%,,7% Plaid Cymru on 1%UKIP on 3%Other on 3%,Tie,2020,–
15–16 Dec,YouGov,The Times,GB,1898,39%,37%,6%,5%,6%,,3% Plaid Cymru on 1%Other on 2%,2%,2020,4%
10–14 Dec,Kantar Public,,GB,1137,38%,37%,10%,5%,3%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,1%,2020,3%
11–13 Dec,Savanta ComRes,,UK,1295,38%,37%,8%,5%,5%,,3% Plaid Cymru on 0%Other on 3%,1%,2020,4%
4–10 Dec,Ipsos,Evening Standard,GB,1027,41%,41%,6%,5%,5%,,2% UKIP on 0%Plaid Cymru on 1%Other on 1%,Tie,2020,0%
4–10 Dec,Survation,,UK,3452,39%,37%,8%,5%,5%,,5% Plaid Cymru on 0%Other on 5%,2%,2020,1%
8–9 Dec,YouGov,The Times,GB,1699,37%,37%,8%,5%,6%,,2% Plaid Cymru on 1%Other on 1%,Tie,2020,5%
27 Nov – 8 Dec,Opinium,The Observer,UK,6949,40%,38%,6%,5%,4%,,5% Plaid Cymru on 1%UKIP on 2%Other on 2%,2%,2020,0%
3–4 Dec,Opinium,The Observer,UK,2002,38%,40%,6%,6%,3%,,8% Plaid Cymru on 1%UKIP on 3%Other on 4%,2%,2020,–
2–3 Dec,YouGov,The Times,GB,1706,38%,38%,6%,5%,5%,,4% Plaid Cymru on 1%Other on 3%,Tie,2020,3%
2 Dec,Redfield & Wilton,,GB,2000,40%,37%,9%,5%,6%,,4% Plaid Cymru on 1%Other on 3%,3%,2020,–
27–29 Nov,Savanta ComRes,,UK,1428,39%,38%,8%,5%,3%,,5% Plaid Cymru on 1%Other on 4%,1%,2020,3%
26–28 Nov,Deltapoll,Daily Mail,GB,1525,37%,38%,9%,4%,4%,,5% UKIP on 4%Plaid Cymru on 1%Other on 0%,1%,2020,3%
20–28 Nov,Number Cruncher Politics,,GB,1001,39%,37%,7%,5%,5%,,2% Plaid Cymru on 1%Other on 1%,2%,2020,4%
26–27 Nov,YouGov,The Times,GB,1696,37%,40%,5%,6%,5%,,3% Plaid Cymru on 1%Other on 2%,3%,2020,5%
20–22 Nov,Savanta ComRes,,UK,1272,39%,37%,7%,5%,4%,,5% Plaid Cymru on 1%Other on 4%,2%,2020,3%
19–20 Nov,Opinium,The Observer,UK,2001,41%,38%,6%,6%,4%,,5% Plaid Cymru on 1% UKIP on 2% Other on 2%,3%,2020,–
19 Nov,Redfield & Wilton,,GB,2500,40%,39%,8%,5%,4%,,4% Plaid Cymru on 0%Other on 4%,1%,2020,–
17–18 Nov,YouGov,The Times,GB,1700,38%,37%,7%,6%,6%,,3% Plaid Cymru on 1%Other on 2%,1%,2020,4%
13–15 Nov,Savanta ComRes,,UK,2075,41%,38%,5%,5%,4%,,4% Plaid Cymru on 0%Other on 4%,3%,2020,2%
11–12 Nov,YouGov,The Times,GB,1632,38%,40%,5%,5%,5%,,2% Plaid Cymru on 1%Other on 1%,2%,2020,4%
11 Nov,Redfield & Wilton,,GB,2500,40%,40%,7%,5%,5%,,3% Plaid Cymru on 0%Other on 3%,Tie,2020,–
6–9 Nov,Savanta ComRes,,UK,2130,40%,36%,8%,5%,5%,,3% Plaid Cymru on 0%Other on 3%,4%,2020,2%
5–9 Nov,Kantar Public,,GB,1141,40%,36%,8%,5%,5%,,3% Plaid Cymru on 0%UKIP on 1%Other on 1%,4%,2020,2%
5–6 Nov,Opinium,The Observer,UK,2003,38%,42%,7%,5%,3%,,6% Plaid Cymru on 1%UKIP on 2%Other on 3%,4%,2020,–
5–6 Nov,Survation,,UK,1034,39%,37%,9%,5%,4%,,4% Plaid Cymru on 0%Other on 4%,2%,2020,2%
4–5 Nov,YouGov,The Times,GB,1665,35%,40%,7%,5%,4%,,3% Plaid Cymru on 1%Other on 2%,5%,2020,6%
30 Oct – 2 Nov,Savanta ComRes,,UK,2126,40%,40%,7%,5%,3%,,2% Plaid Cymru on 0%Other on 2%,Tie,2020,2%
28–29 Oct,YouGov,The Times,GB,1658,38%,38%,6%,5%,5%,,3% Plaid Cymru on 1%Other on 2%,Tie,2020,4%
28 Oct,Redfield & Wilton,,GB,3000,39%,41%,7%,4%,4%,,4% Plaid Cymru on 0%Other on 4%,2%,2020,–
22–28 Oct,Ipsos,Evening Standard,GB,1007,37%,42%,8%,6%,5%,,2% Plaid Cymru on 1%Other on 1%,5%,2020,1%
23–26 Oct,Savanta ComRes,,UK,2111,42%,39%,7%,4%,3%,,2% Plaid Cymru on 0%Other on 2%,3%,2020,2%
22–24 Oct,Deltapoll,The Mail on Sunday,GB,1589,42%,39%,7%,3%,3%,,4% Plaid Cymru on 0%UKIP on 2%Other on 2%,3%,2020,3%
22–23 Oct,Opinium,The Observer,UK,2002,38%,40%,6%,5%,5%,,6% Plaid Cymru on 1%UKIP on 2%Other on 3%,2%,2020,–
21–22 Oct,YouGov,The Times,GB,1665,40%,39%,7%,5%,5%,,3% Plaid Cymru on 1%Other on 2%,1%,2020,3%
21 Oct,Redfield & Wilton,,GB,3000,40%,40%,7%,5%,4%,,4% Plaid Cymru on 0%Other on 3%,Tie,2020,–
16–18 Oct,Savanta ComRes,,UK,2274,42%,36%,8%,4%,3%,,5% Plaid Cymru on 1%Other on 4%,6%,2020,2%
9–17 Oct,Number Cruncher Politics,Peston,GB,2088,41%,38%,5%,5%,6%,,1% Plaid Cymru on 0%Other on 1%,3%,2020,4%
14–15 Oct,YouGov,The Times,GB,1675,39%,38%,6%,5%,6%,,2% Plaid Cymru on 1%Other on 1%,1%,2020,5%
9–11 Oct,Savanta ComRes,,UK,2123,39%,39%,7%,5%,4%,,4% Plaid Cymru on 1%Other on 3%,Tie,2020,3%
8–9 Oct,Opinium,The Observer,UK,2001,40%,40%,6%,6%,3%,,6% Plaid Cymru on 1% UKIP on 3% Other on 2%,Tie,2020,–
6–7 Oct,Redfield & Wilton,,GB,3000,41%,39%,8%,4%,4%,,3% Plaid Cymru on 0%Other on 3%,2%,2020,–
6–7 Oct,YouGov,The Times,GB,1673,41%,38%,5%,5%,6%,,5% Plaid Cymru on 1%Other on 1%,3%,2020,3%
5–6 Oct,Survation,,UK,1022,41%,37%,7%,4%,4%,,6% Plaid Cymru on 1%Other on 5%,4%,2020,1%
2–4 Oct,Savanta ComRes,,UK,2081,42%,39%,7%,4%,3%,,3% Plaid Cymru on 1%Other on 2%,3%,2020,2%
30 Sep – 1 Oct,Redfield & Wilton,,GB,4000,39%,39%,8%,5%,5%,,3% Plaid Cymru on 0%Other on 3%,Tie,2020,–
29–30 Sep,YouGov,The Times,GB,1700,39%,39%,6%,5%,5%,,2% Plaid Cymru on 1%Other on 1%,Tie,2020,4%
25–28 Sep,Savanta ComRes,,UK,2112,41%,38%,8%,5%,3%,,2% Plaid Cymru on 0%Other on 2%,3%,2020,2%
24–25 Sep,Deltapoll,The Mail on Sunday,GB,1583,42%,38%,6%,5%,4%,,2% Plaid Cymru on 0%UKIP on 2%Other on 0%,4%,2020,3%
23–25 Sep,Opinium,The Observer,UK,2002,39%,42%,5%,6%,4%,,4% UKIP on 1%Plaid Cymru on 1%Other on 2%,3%,2020,–
23–24 Sep,YouGov,The Times,GB,1623,41%,38%,6%,4%,5%,,3% Plaid Cymru on 1%Other on 2%,3%,2020,3%
22–23 Sep,Redfield & Wilton,,GB,2500,40%,40%,7%,4%,5%,,3% Plaid Cymru on 0%Other on 3%,Tie,2020,–
17–21 Sep,Kantar Public,,GB,1125,40%,38%,9%,4%,4%,,7% Plaid Cymru on 1%UKIP on 2%Other on 1%,2%,2020,3%
18–20 Sep,Savanta ComRes,,UK,2109,40%,37%,8%,5%,3%,,4% Plaid Cymru on 0%Other on 4%,3%,2020,3%
11–18 Sep,Ipsos,Evening Standard,GB,1013,40%,37%,8%,7%,5%,,2% Plaid Cymru on 0%UKIP on 1%Other on 1%,3%,2020,0%
16–17 Sep,YouGov,The Times,GB,1618,40%,40%,6%,4%,5%,,2% Plaid Cymru on 1%Other on 1%,Tie,2020,3%
15–16 Sep,Survation,,UK,1003,40%,38%,7%,5%,4%,,5% Plaid Cymru on 1%Other on 4%,2%,2020,1%
15–16 Sep,Redfield & Wilton,,GB,2500,41%,39%,8%,5%,5%,,3% Plaid Cymru on 0%Other on 3%,2%,2020,–
9–11 Sep,Opinium,The Observer,GB,2001,42%,39%,6%,5%,4%,,4% Plaid Cymru on 1%UKIP on 1%Other on 1%,3%,2020,–
8–9 Sep,YouGov,The Times,GB,1615,42%,37%,6%,5%,4%,,2% Plaid Cymru on 1%Other on 1%,5%,2020,3%
4–8 Sep,Number Cruncher Politics,Bloomberg,GB,1001,42%,38%,6%,5%,5%,,2% Plaid Cymru on 0%Other on 2%,4%,2020,2%
3–4 Sep,YouGov,The Times,GB,1633,43%,37%,6%,6%,4%,,2% Plaid Cymru on 1%Other on 1%,6%,2020,3%
2–4 Sep,Survation,,UK,1047,40%,38%,8%,5%,4%,,4% Plaid Cymru on 1%Other on 3%,2%,2020,1%
1–2 Sep,Redfield & Wilton,,GB,2500,43%,37%,8%,4%,4%,,3% Plaid Cymru on 0%Other on 3%,6%,2020,–
26–28 Aug,Opinium,The Observer,GB,2002,40%,40%,6%,5%,3%,,2% Plaid Cymru on 0%UKIP on 2%,Tie,2020,–
27 Aug,Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],,Ed Davey is elected leader of the Liberal Democrats[26],Ed Davey is elected leader of the Liberal Democrats[26],2020,Ed Davey is elected leader of the Liberal Democrats[26]
24–25 Aug,YouGov,The Times,GB,1669,43%,36%,6%,5%,4%,,2% Plaid Cymru on 1%Other on 1%,7%,2020,3%
24 Aug,Redfield & Wilton,,GB,2000,42%,37%,9%,4%,5%,,3% Plaid Cymru on 0%Other on 3%,5%,2020,–
21 Aug,Survation,,UK,1005,41%,37%,9%,5%,4%,,3% Plaid Cymru on 0%Other on 3%,4%,2020,1%
19 Aug,Redfield & Wilton,,GB,2000,44%,37%,7%,4%,4%,,3% Plaid Cymru on 0%Other on 3%,7%,2020,–
18–19 Aug,YouGov,The Times,GB,1652,40%,38%,6%,5%,6%,,2% Plaid Cymru on 1%Other on 1%,2%,2020,4%
14–16 Aug,Savanta ComRes,,UK,2083,42%,37%,7%,4%,3%,,5% Plaid Cymru on 1%Other on 4%,5%,2020,2%
13–14 Aug,Opinium,The Observer,GB,2005,42%,39%,5%,5%,3%,,6% UKIP on 3%Plaid Cymru on 1%Other on 2%,3%,2020,–
12 Aug,Redfield & Wilton,,GB,2000,43%,36%,9%,4%,4%,,3% Plaid Cymru on 0%Other on 3%,7%,2020,–
11–12 Aug,YouGov,The Times,GB,1634,44%,35%,5%,6%,5%,,2% Plaid Cymru on 1%Other on 1%,9%,2020,3%
6–10 Aug,Kantar Public,,GB,1161,42%,35%,8%,6%,3%,,3% UKIP on 1%Plaid Cymru on 1% Other on 1%,7%,2020,3%
4–5 Aug,YouGov,The Times,GB,1606,42%,36%,8%,5%,5%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,6%,2020,2%
30 Jul – 4 Aug,Ipsos,Evening Standard,GB,1019,45%,37%,6%,5%,5%,,1% Plaid Cymru on 0%Other on 1%,8%,2020,1%
31 Jul – 3 Aug,Survation,,UK,1019,44%,35%,8%,4%,5%,,3% Plaid Cymru on 0%Other on 3%,9%,2020,0%
30–31 Jul,YouGov,The Times,GB,1623,43%,35%,6%,5%,5%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,8%,2020,3%
30–31 Jul,Opinium,The Observer,GB,2002,41%,38%,6%,6%,4%,,6% UKIP on 2%Plaid Cymru on 1%Other on 3%,3%,2020,–
29 Jul,Redfield & Wilton,,GB,2000,43%,38%,7%,4%,4%,,3% Plaid Cymru on 0%Other on 3%,5%,2020,–
23–24 Jul,Opinium,The Observer,GB,2002,42%,38%,6%,5%,4%,,5% UKIP on 2%Plaid Cymru on 1%Other on 2%,4%,2020,–
22–23 Jul,YouGov,The Times,GB,1648,44%,35%,7%,5%,4%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,9%,2020,3%
22 Jul,Redfield & Wilton,,GB,2000,44%,36%,8%,4%,5%,,4% Plaid Cymru on 1%Other on 3%,8%,2020,–
17–19 Jul,Savanta ComRes,,UK,2085,43%,37%,6%,5%,2%,,5% Plaid Cymru on 1%Other on 4%,6%,2020,2%
15–17 Jul,Opinium,The Observer,GB,2003,44%,36%,6%,6%,4%,,4% UKIP on 1%Plaid Cymru on 1%Other on 2%,8%,2020,–
15 Jul,Redfield & Wilton,,GB,2000,44%,37%,8%,4%,4%,,2% Plaid Cymru on 0%Other on 2%,7%,2020,–
9–13 Jul,Kantar Public,,GB,1131,45%,35%,9%,5%,2%,,3% UKIP on 2%Plaid Cymru on 1%,10%,2020,2%
10–12 Jul,Survation,,UK,2022,42%,36%,8%,4%,5%,,4% Plaid Cymru on 1%Other on 3%,6%,2020,1%
9–10 Jul,Opinium,The Observer,GB,2002,42%,38%,6%,6%,4%,,4% UKIP on 2%Plaid Cymru on 1%Other on 1%,4%,2020,–
9–10 Jul,Deltapoll,The Mail on Sunday,GB,1541,44%,38%,7%,3%,3%,,2% UKIP on 1%Plaid Cymru on 0%Other on 1%,6%,2020,3%
8–9 Jul,YouGov,The Times,GB,1614,46%,36%,6%,5%,3%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,10%,2020,2%
8 Jul,Redfield & Wilton,,GB,2000,44%,39%,7%,4%,4%,,2% Plaid Cymru on 0%Other on 2%,5%,2020,–
3–6 Jul,Survation,,UK,1012,44%,37%,7%,4%,4%,,3% Plaid Cymru on 0%Other on 3%,7%,2020,0%
2–3 Jul,Deltapoll,The Mail on Sunday,GB,1549,41%,36%,7%,3%,5%,,4% UKIP on 3%Plaid Cymru on 0%Other on 1%,5%,2020,4%
1–3 Jul,Opinium,The Observer,GB,2002,41%,37%,8%,5%,4%,,5% UKIP on 2%Plaid Cymru on 1%Other on 2%,4%,2020,–
1 Jul,Redfield & Wilton,Election Maps UK,GB,2000,42%,38%,8%,4%,5%,,2% Plaid Cymru on 0%Other on 2%,4%,2020,–
26–28 Jun,YouGov,The Times,GB,1626,45%,37%,5%,5%,4%,,1% UKIP on 0%Plaid Cymru on 1%,8%,2020,2%
25–26 Jun,Opinium,The Observer,GB,2001,43%,39%,6%,5%,4%,,4% UKIP on 2%Plaid Cymru on 1%Other on 1%,4%,2020,–
25 Jun,Redfield & Wilton,Election Maps UK,GB,2000,44%,38%,7%,4%,4%,,2% Plaid Cymru on 0%Other on 2%,6%,2020,–
24–25 Jun,Survation,,UK,2003,43%,36%,8%,5%,4%,,4% Plaid Cymru on 0%Other on 4%,7%,2020,0%
18–19 Jun,Opinium,The Observer,GB,2001,44%,40%,5%,5%,3%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,4%,2020,–
18 Jun,Redfield & Wilton,,GB,2000,43%,38%,8%,4%,4%,,4% Plaid Cymru on 1%Other on 3%,5%,2020,–
11–15 Jun,Kantar Public,,GB,1124,43%,35%,8%,5%,4%,,1% UKIP on 1%Plaid Cymru on 0%,8%,2020,2%
12–14 Jun,Savanta ComRes,The Daily Telegraph,UK,2106,40%,36%,9%,5%,3%,,5% Plaid Cymru on 1%Other on 4%,4%,2020,3%
11–12 Jun,Opinium,The Observer,GB,2001,44%,39%,6%,5%,2%,,2% UKIP on 1%Plaid Cymru on 0%Other on 1%,5%,2020,–
11–12 Jun,YouGov,The Times,GB,1693,45%,37%,6%,5%,4%,,1% Plaid Cymru on 1%UKIP on 0%,8%,2020,2%
11 Jun,Redfield & Wilton,,GB,1500,41%,39%,9%,5%,4%,,2% Plaid Cymru on 0%Other on 2%,2%,2020,–
9–10 Jun,Survation,,UK,1062,42%,36%,8%,5%,4%,,4% Plaid Cymru on 1%Other on 3%,6%,2020,1%
5–10 Jun,Ipsos,Evening Standard,GB,1059,43%,38%,10%,4%,1%,,1% Plaid Cymru on 0%Other on 1%,5%,2020,3%
4–5 Jun,Opinium,The Observer,GB,2002,43%,40%,6%,5%,3%,,3% UKIP on 2%Plaid Cymru on 1%,3%,2020,–
4–5 Jun,Deltapoll,The Mail on Sunday,GB,1547,41%,38%,8%,2%,4%,,3% UKIP on 2%Plaid Cymru on 0%Other on 1%,3%,2020,3%
3 Jun,Survation,,UK,1018,41%,39%,7%,4%,4%,,4% Plaid Cymru on 1%Other on 3%,2%,2020,1%
3 Jun,Redfield & Wilton,,GB,1500,43%,36%,9%,4%,5%,,4% Plaid Cymru on 1%Other on 3%,7%,2020,–
29–30 May,YouGov,The Times,GB,1650,45%,35%,6%,5%,5%,,1% Plaid Cymru on 0%UKIP on 0%Other on 1%,10%,2020,2%
28–29 May,Opinium,The Observer,GB,2012,43%,39%,6%,5%,3%,,4% UKIP on 1%Plaid Cymru on 1%Other on 2%,4%,2020,–
27–28 May,Deltapoll,The Mail on Sunday,GB,1557,43%,38%,8%,3%,4%,,2% UKIP on 2%Plaid Cymru on 0%,5%,2020,2%
27 May,Redfield & Wilton,,GB,1500,43%,37%,9%,5%,3%,,3% Plaid Cymru on 0%Other on 3%,6%,2020,–
26–27 May,YouGov,DatapraxisEU,GB,2029,43%,38%,6%,5%,4%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,5%,2020,3%
25–26 May,YouGov,The Times,GB,1629,44%,38%,6%,5%,4%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,6%,2020,2%
22–26 May,Survation,,UK,1040,46%,33%,8%,5%,4%,,4% Plaid Cymru on 0%Other on 4%,13%,2020,0%
21–22 May,Opinium,The Observer,GB,2008,47%,35%,6%,5%,3%,,3% UKIP on 2%Plaid Cymru on 0%Other on 1%,12%,2020,–
18–19 May,YouGov,The Times,GB,1718,48%,33%,6%,5%,5%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,15%,2020,2%
15–17 May,Savanta ComRes Archived 21 May 2020 at the Wayback Machine,,GB,2079,46%,33%,7%,4%,4%,,2% Plaid Cymru on 1%Other on 1%,13%,2020,2%
15 May,Redfield & Wilton,,GB,1500,47%,35%,9%,4%,3%,,2% Plaid Cymru on 0%Other on 2%,12%,2020,–
13–14 May,Opinium,The Observer,GB,1062,49%,34%,6%,5%,3%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,15%,2020,–
5–11 May,Kantar Public,,GB,1130,51%,32%,7%,5%,2%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,19%,2020,2%
5–7 May,Opinium,The Observer,GB,1053,49%,33%,6%,5%,5%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,16%,2020,0%
6 May,Redfield & Wilton,,GB,1500,50%,31%,7%,4%,5%,,3% Plaid Cymru on 0%Other on 3%,19%,2020,–
5–6 May,YouGov,The Times,GB,1667,50%,30%,7%,4%,5%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,20%,2020,3%
27 Apr – 1 May,Opinium,The Observer,GB,1072,51%,33%,6%,5%,3%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,18%,2020,0%
27–28 Apr,Survation,,UK,1023,48%,31%,8%,4%,5%,,4% Plaid Cymru on 1%Other on 3%,17%,2020,1%
26 Apr,Redfield & Wilton,,GB,1500,50%,33%,7%,5%,4%,,1% Plaid Cymru on 0%Other on 1%,17%,2020,–
21–23 Apr,Opinium,The Observer,GB,2000,50%,33%,7%,5%,3%,,2% UKIP on 1%Plaid Cymru on 0%Brexit Party on 0%Other on 1%,17%,2020,0%
16–20 Apr,Kantar Public,,GB,1118,54%,28%,9%,4%,4%,,1% UKIP on 0%Plaid Cymru on 1%,26%,2020,1%
17 Apr,Redfield & Wilton,,GB,1500,52%,31%,8%,4%,3%,,3% Plaid Cymru on 1%Other on 2%,21%,2020,–
16–17 Apr,YouGov,The Times,GB,2015,53%,32%,5%,4%,3%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,21%,2020,1%
15–17 Apr,Opinium,The Observer,GB,2000,51%,32%,6%,5%,3%,,2% UKIP on 1%Plaid Cymru on 0%Other on 1%,19%,2020,0%
7–9 Apr,Opinium,The Observer,GB,2005,55%,29%,5%,5%,4%,,2% UKIP on 1%Plaid Cymru on 0%Other on 1%,26%,2020,0%
7–9 Apr,BMG,The Independent,GB,1541,46%,29%,10%,3%,6%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,17%,2020,2%
4 Apr,Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],,Keir Starmer is elected leader of the Labour Party[27],Keir Starmer is elected leader of the Labour Party[27],2020,Keir Starmer is elected leader of the Labour Party[27]
1–3 Apr,Opinium,The Observer,GB,2000,53%,30%,7%,5%,3%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,23%,2020,0%
1–2 Apr,Redfield & Wilton,,UK,2000,49%,29%,8%,4%,4%,,6% Plaid Cymru on 1%Other on 5%,20%,2020,–
1–2 Apr,YouGov,The Times,GB,1631,52%,28%,8%,5%,5%,,2% Plaid Cymru on 1%UKIP on 0%Other on 1%,24%,2020,1%
26–27 Mar,Opinium,The Observer,GB,2006,54%,28%,6%,5%,3%,,3% UKIP on 1%Plaid Cymru on 1%Other on 1%,26%,2020,0%
24–26 Mar,Number Cruncher Politics,Bloomberg,GB,1010,54%,28%,7%,4%,4%,,0% Plaid Cymru on 0%,26%,2020,2%
23 Mar,Redfield & Wilton,,GB,1500,47%,29%,8%,5%,5%,,6% Plaid Cymru on 1%Other on 5%,18%,2020,–
